title	genre	score	revenue	released
Small Soldiers	Action	6.2	54682547	1998-07-10
Smokin' Aces	Action	6.4	57103895	2007-01-26
Snitch	Action	5.8	42930462	2013-02-22
Snow White and the Huntsman	Action	5.8	396600000	2012-06-01
Soldier	Action	6.1	14567883	1998-10-23
Space Cowboys	Action	6.3	128884132	2000-08-04
Spawn	Action	5	87840042	1997-08-01
Species	Action	5.5	113374103	1995-07-07
Spectre	Action	6.3	880674609	2015-11-06
Speed	Action	6.8	350448145	1994-06-10
Speed 2: Cruise Control	Action	4.1	164508066	1997-06-13
Speed Racer	Action	5.7	93945766	2008-05-09
Spider-Man	Action	6.8	821708551	2002-05-03
Spider-Man 2	Action	6.7	783766341	2004-06-30
Spider-Man 3	Action	5.9	890871626	2007-05-04
Spy Kids	Action	5.5	147934180	2001-03-30
Star Trek	Action	7.4	385680446	2009-05-08
Star Trek Beyond	Action	6.6	343471816	2016-07-22
Star Trek Into Darkness	Action	7.4	467365246	2013-05-16
Star Trek V: The Final Frontier	Action	5.6	70200000	1989-06-09
Star Trek VI: The Undiscovered Country	Action	6.7	96900000	1991-12-06
Star Trek: Generations	Action	6.4	120000000	1994-11-18
Star Trek: Insurrection	Action	6.3	118000000	1998-12-11
Star Trek: Nemesis	Action	6.1	67312826	2002-12-13
Star Wars: Episode I - The Phantom Menace	Action	6.3	924317558	1999-05-19
Star Wars: Episode II - Attack of the Clones	Action	6.4	649398328	2002-05-16
Star Wars: Episode III - Revenge of the Sith	Action	7.1	850000000	2005-05-19
Starship Troopers	Action	6.7	121214377	1997-11-07
Stealth	Action	4.9	76932943	2005-07-29
Steel	Action	4.3	1686429	1997-08-15
Stolen	Action	5.1	2106557	2013-04-05
Straw Dogs	Action	5.5	10324441	2011-09-16
Street Fighter	Action	4.1	99423521	1994-12-23
Street Kings	Action	6.3	65569869	2008-04-11
Sucker Punch	Action	5.9	89792502	2011-03-25
Suicide Squad	Action	5.9	745000000	2016-08-05
Superhero Movie	Action	4.9	25871834	2008-03-28
Superman IV: The Quest for Peace	Action	4.1	19300000	1987-07-24
Superman Returns	Action	5.4	391081192	2006-06-28
Surrogates	Action	5.9	122444772	2009-09-25
Swordfish	Action	6.1	147080413	2001-06-08
Takers	Action	6	69055695	2010-08-27
Talladega Nights: The Ballad of Ricky Bobby	Action	6.2	162966177	2006-08-04
Tango & Cash	Action	6.1	63408614	1989-12-22
Tank Girl	Action	5.5	4064495	1995-03-31
Team America: World Police	Action	6.6	50907422	2004-10-15
Tears of the Sun	Action	6.4	85632458	2003-03-07
Teenage Mutant Ninja Turtles	Action	5.8	477200000	1990-03-30
Teenage Mutant Ninja Turtles	Action	5.8	477200000	2014-08-08
Teenage Mutant Ninja Turtles II: The Secret of the Ooze	Action	5.8	78000000	1991-03-22
Teenage Mutant Ninja Turtles III	Action	5.1	42000000	1993-03-19
Teenage Mutant Ninja Turtles: Out of the Shadows	Action	5.8	245623848	2016-06-03
Terminator 2: Judgment Day	Action	7.7	520000000	1991-07-03
Terminator 3: Rise of the Machines	Action	5.9	435000000	2003-07-02
Terminator Genisys	Action	5.8	440603537	2015-07-01
Terminator Salvation	Action	5.9	371353001	2009-05-21
The 13th Warrior	Action	6.4	61698899	1999-08-27
The 5th Wave	Action	5.6	109906372	2016-01-22
The 6th Day	Action	5.7	96085477	2000-11-17
The Adventures of Ford Fairlane	Action	6.2	20423389	1990-07-11
The Amazing Spider-Man	Action	6.5	752215857	2012-07-03
The Amazing Spider-Man 2	Action	6.5	705717432	2014-05-02
The Art of War	Action	5.6	30199105	2000-08-25
The Avengers	Action	7.4	1519557910	1998-08-14
The Avengers	Action	7.4	1519557910	2012-05-04
The Big Hit	Action	6.1	27007143	1998-04-24
The Bodyguard	Action	6.1	411006740	1992-11-25
The Book of Eli	Action	6.6	157107755	2010-01-15
The Boondock Saints	Action	7.2	30471	1999-11-19
The Boondock Saints II: All Saints Day	Action	5.9	10629321	2009-12-11
The Bounty Hunter	Action	5.5	136000000	2010-03-19
The Bourne Identity	Action	7.3	214034224	2002-06-14
The Bourne Legacy	Action	6	276572938	2012-08-10
The Bourne Supremacy	Action	7.2	288500217	2004-07-23
The Bourne Ultimatum	Action	7.3	442824138	2007-08-03
The Chronicles of Narnia: Prince Caspian	Action	6.3	419651413	2008-05-16
The Chronicles of Riddick	Action	6.3	115772733	2004-06-11
The Cold Light of Day	Action	4.8	16863583	2012-09-07
The Core	Action	5.4	74208267	2003-03-28
The Corruptor	Action	6	15156200	1999-03-12
The Count of Monte Cristo	Action	7.3	75395048	2002-01-25
The Covenant	Action	5.2	37597471	2006-09-08
The Crow	Action	7.3	94000000	1994-05-13
The Dark Knight	Action	8.2	1004558444	2008-07-18
The Dark Knight Rises	Action	7.6	1084939099	2012-07-20
