year,star,director,writer
1996,Geena Davis,Renny Harlin,Shane Black
2015,Scott Eastwood,George Tillman Jr.,Nicholas Sparks
2005,Adam Sandler,Peter Segal,Albert S. Ruddy
2001,Elijah Wood,Peter Jackson,J.R.R. Tolkien
2003,Elijah Wood,Peter Jackson,J.R.R. Tolkien
2002,Elijah Wood,Peter Jackson,J.R.R. Tolkien
2012,Sheri Moon Zombie,Rob Zombie,Rob Zombie
2010,Idris Elba,Sylvain White,Peter Berg
1997,Jeff Goldblum,Steven Spielberg,Michael Crichton
2008,Mike Myers,Marco Schnabel,Mike Myers
2009,Rachel Weisz,Peter Jackson,Fran Walsh
2012,Zac Efron,Scott Hicks,Will Fetters
2004,Christian Bale,Brad Anderson,Scott Kosar
2001,Jim Carrey,Frank Darabont,Michael Sloane
2015,Henry Cavill,Guy Ritchie,Guy Ritchie
1997,Bill Murray,Jon Amiel,Robert Farrar
2012,Russell Crowe,RZA,RZA
2004,Denzel Washington,Jonathan Demme,Richard Condon
2006,John Cena,John Bonito,Michelle Gallagher
2015,Matt Damon,Ridley Scott,Drew Goddard
1994,Jim Carrey,Chuck Russell,Michael Fallon
1998,Antonio Banderas,Martin Campbell,Johnston McCulley
2012,Philip Seymour Hoffman,Paul Thomas Anderson,Paul Thomas Anderson
2005,Pierce Brosnan,Richard Shepard,Richard Shepard
1999,Keanu Reeves,Lana Wachowski,Lilly Wachowski
2003,Keanu Reeves,Lana Wachowski,Lilly Wachowski
2014,Dylan O'Brien,Wes Ball,Noah Oppenheim
2011,Jason Statham,Simon West,Richard Wenk
2009,Ewan McGregor,Grant Heslov,Jon Ronson
2009,Ben Foster,Oren Moverman,Alessandro Camon
1999,Milla Jovovich,Luc Besson,Andrew Birkin
2001,Brad Pitt,Gore Verbinski,J.H. Wyman
2008,Vinnie Jones,Ryûhei Kitamura,Jeff Buhler
1992,Emilio Estevez,Stephen Herek,Steven Brill
2007,Thomas Jane,Frank Darabont,Frank Darabont
2014,George Clooney,George Clooney,George Clooney
2013,Lily Collins,Harald Zwart,Jessica Postigo
2002,Richard Gere,Mark Pellington,Richard Hatem
2001,Brendan Fraser,Stephen Sommers,Stephen Sommers
2011,Amy Adams,James Bobin,Jason Segel
1991,Leslie Nielsen,David Zucker,Jim Abrahams
1995,Sandra Bullock,Irwin Winkler,John Brancato
2005,Colin Farrell,Terrence Malick,Terrence Malick
1998,Matthew McConaughey,Richard Linklater,Claude Stanush
2000,Madonna,John Schlesinger,Tom Ropelewski
2010,Russell Crowe,Paul Haggis,Paul Haggis
2004,Gena Rowlands,Nick Cassavetes,Jeremy Leven
2014,Pierce Brosnan,Roger Donaldson,Michael Finch
2007,Jim Carrey,Joel Schumacher,Fernley Phillips
1993,Darci Kistler,Emile Ardolino,Susan Cooper
1996,Eddie Murphy,Tom Shadyac,Jerry Lewis
1998,Jennifer Aniston,Nicholas Hytner,Stephen McCauley
2006,Liev Schreiber,John Moore,David Seltzer
2001,Jet Li,James Wong,Glen Morgan
2003,Heath Ledger,Brian Helgeland,Brian Helgeland
2010,Will Ferrell,Adam McKay,Adam McKay
2001,Christopher Gorham,Mitch Davis,Mitch Davis
2014,Cameron Diaz,Nick Cassavetes,Melissa Stack
1999,Steve Martin,Sam Weisman,Neil Simon
2005,Vin Diesel,Adam Shankman,Thomas Lennon
2004,Jim Caviezel,Mel Gibson,Benedict Fitzgerald
2000,Mel Gibson,Roland Emmerich,Robert Rodat
2015,Noah Schnapp,Steve Martino,Craig Schulz
1993,Julia Roberts,Alan J. Pakula,John Grisham
1995,Marisa Tomei,Mira Nair,Christine Bell
2000,George Clooney,Wolfgang Petersen,Sebastian Junger
2012,Logan Lerman,Stephen Chbosky,Stephen Chbosky
1996,Billy Zane,Simon Wincer,Lee Falk
2004,Gerard Butler,Joel Schumacher,Gaston Leroux
2002,Adrien Brody,Roman Polanski,Ronald Harwood
2012,Ryan Gosling,Derek Cianfrance,Derek Cianfrance
2001,Jack Nicholson,Sean Penn,Friedrich Dürrenmatt
2004,Tom Hanks,Robert Zemeckis,Chris Van Allsburg
1997,Kevin Costner,Kevin Costner,David Brin
2006,Christian Bale,Christopher Nolan,Jonathan Nolan
1998,Val Kilmer,Brenda Chapman,Philip LaZebnik
1991,Barbra Streisand,Barbra Streisand,Pat Conroy
2009,Anika Noni Rose,Ron Clements,Ron Clements
1987,Cary Elwes,Rob Reiner,William Goldman
2001,Julie Andrews,Garry Marshall,Meg Cabot
2004,Anne Hathaway,Garry Marshall,Meg Cabot
2005,Nathan Lane,Susan Stroman,Mel Brooks
2009,Sandra Bullock,Anne Fletcher,Peter Chiarelli
2005,Ray Winstone,John Hillcoat,Nick Cave
2004,Thomas Jane,Jonathan Hensleigh,Jonathan Hensleigh
2016,Frank Grillo,James DeMonaco,James DeMonaco
2006,Will Smith,Gabriele Muccino,Steve Conrad
2005,Camilla Belle,Jamie Babbit,Abdi Nazemian
2002,Michael Caine,Phillip Noyce,Graham Greene
1999,Emily Bergl,Katt Shea,Stephen King
1997,Matt Damon,Francis Ford Coppola,John Grisham
2012,John Cusack,James McTeigue,Hannah Shakespeare
2008,Kate Winslet,Stephen Daldry,David Hare
2007,Hilary Swank,Stephen Hopkins,Carey Hayes
1998,Carlo Cecchi,François Girard,Don McKellar
1997,Penelope Ann Miller,Peter Hyams,Douglas Preston
1993,Anthony Hopkins,James Ivory,Kazuo Ishiguro
1998,Yun-Fat Chow,Antoine Fuqua,Ken Sanzel
2005,Naomi Watts,Hideo Nakata,Ehren Kruger
2011,Colin O'Donoghue,Mikael Håfström,Michael Petroni
2009,Viggo Mortensen,John Hillcoat,Cormac McCarthy
2000,Kevin Kline,Bibo Bergeron,Terry Rossio
1996,Sean Connery,Michael Bay,David Weisberg
2008,Rainn Wilson,Peter Cattaneo,Maya Forbes
1990,Clint Eastwood,Clint Eastwood,Boaz Yakin
2002,Dennis Quaid,John Lee Hancock,Mike Rich
2011,Minka Kelly,Christian E. Christiansen,Sonny Mallhi
2001,Gene Hackman,Wes Anderson,Wes Anderson
1998,Elizabeth Daily,Igor Kovalyov,David N. Weiss
2010,Kristen Stewart,Floria Sigismondi,Floria Sigismondi
2003,Dwayne Johnson,Peter Berg,R.J. Stewart
1987,Arnold Schwarzenegger,Paul Michael Glaser,Stephen King
1997,Val Kilmer,Phillip Noyce,Leslie Charteris
1994,Tim Allen,John Pasquin,Leo Benvenuti
2002,Tim Allen,Michael Lembeck,Don Rhymer
1995,Demi Moore,Roland Joffé,Nathaniel Hawthorne
2001,Robert De Niro,Frank Oz,Daniel E. Taylor
2002,Dwayne Johnson,Chuck Russell,Stephen Sommers
2015,Judi Dench,John Madden,Ol Parker
2009,Ricardo Dar�,Juan José Campanella,Eduardo Sacheri
2008,Dakota Fanning,Gina Prince-Bythewood,Gina Prince-Bythewood
2013,Ben Stiller,Ben Stiller,Steve Conrad
2006,Michael Douglas,Clark Johnson,George Nolfi
2012,John Hawkes,Ben Lewin,Ben Lewin
1994,Alec Baldwin,Russell Mulcahy,Walter B. Gibson
2016,Blake Lively,Jaume Collet-Serra,Anthony Jaswinski
1994,Tim Robbins,Frank Darabont,Stephen King
1998,Denzel Washington,Edward Zwick,Lawrence Wright
2014,Brenton Thwaites,William Eubank,Carlyle Eubank
1991,Jodie Foster,Jonathan Demme,Thomas Harris
2007,Dan Castellaneta,David Silverman,James L. Brooks
2005,Amber Tamblyn,Ken Kwapis,Ann Brashares
1999,Bruce Willis,M. Night Shyamalan,M. Night Shyamalan
2005,Kate Hudson,Iain Softley,Ehren Kruger
2000,Joshua Jackson,Rob Cohen,John Pogue
2011,Hank Azaria,Raja Gosnell,J. David Stem
2013,Neil Patrick Harris,Raja Gosnell,J. David Stem
2010,Jesse Eisenberg,David Fincher,Aaron Sorkin
2009,Jamie Foxx,Joe Wright,Susannah Grant
2010,Nicolas Cage,Jon Turteltaub,Lawrence Konner
1997,Steve Martin,David Mamet,David Mamet
1994,Sylvester Stallone,Luis Llosa,John Shirley
2013,Miles Teller,James Ponsoldt,Scott Neustadter
2008,Freddie Highmore,Mark Waters,Karey Kirkpatrick
2008,Gabriel Macht,Frank Miller,Frank Miller
2015,Tom Kenny,Paul Tibbitt,Glenn Berger
2004,Jeffrey Tambor,Stephen Hillenburg,Stephen Hillenburg
2010,Jackie Chan,Brian Levant,Jonathan Bernstein
2005,Owen Kline,Noah Baumbach,Noah Baumbach
2003,Peter Dinklage,Tom McCarthy,Tom McCarthy
2004,Nicole Kidman,Frank Oz,Ira Levin
1999,Bruce Willis,Rob Reiner,Alan Zweibel
2002,Ben Affleck,Phil Alden Robinson,Tom Clancy
2002,Cameron Diaz,Roger Kumble,Nancy Pimental
2010,Jennifer Aniston,Josh Gordon,Allan Loeb
2001,Pierce Brosnan,John Boorman,John le Carré
2008,Matthew Broderick,Sam Fell,Kate DiCamillo
1999,Matt Damon,Anthony Minghella,Patricia Highsmith
2010,Helen Mirren,Julie Taymor,Julie Taymor
2004,Tom Hanks,Steven Spielberg,Andrew Niccol
2014,Eddie Redmayne,James Marsh,Anthony McCarten
1993,Vincent Price,Richard Williams,Richard Williams
1998,Jim Caviezel,Terrence Malick,James Jones
2011,Mary Elizabeth Winstead,Matthijs van Heijningen Jr.,Eric Heisserer
1999,Pierce Brosnan,John McTiernan,Alan Trustman
1993,Charlie Sheen,Stephen Herek,Alexandre Dumas
2011,Logan Lerman,Paul W.S. Anderson,Alex Litvak
2000,Jim Cummings,Jun Falkenstein,A.A. Milne
2002,Guy Pearce,Simon Wells,H.G. Wells
2009,Eric Bana,Robert Schwentke,Bruce Joel Rubin
2013,Aubrey Plaza,Maggie Carey,Maggie Carey
2010,Johnny Depp,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck
2010,Ben Affleck,Ben Affleck,Peter Craig
2002,Jason Statham,Louis Leterrier,Luc Besson
2011,Brad Pitt,Terrence Malick,Terrence Malick
2003,Michèle Caucheteux,Sylvain Chomet,Sylvain Chomet
1998,Jim Carrey,Peter Weir,Andrew Niccol
2012,Kristen Stewart,Bill Condon,Melissa Rosenberg
2010,Kristen Stewart,David Slade,Melissa Rosenberg
2009,Kristen Stewart,Chris Weitz,Melissa Rosenberg
2009,Katherine Heigl,Robert Luketic,Nicole Eastman
1987,Kevin Costner,Brian De Palma,Oscar Fraley
1995,Kevin Spacey,Bryan Singer,Christopher McQuarrie
2015,Olivia Taylor Dudley,Mark Neveldine,Christopher Borrelli
2004,Sigourney Weaver,M. Night Shyamalan,M. Night Shyamalan
1999,Kirsten Dunst,Sofia Coppola,Jeffrey Eugenides
2015,Olivia DeJonge,M. Night Shyamalan,M. Night Shyamalan
2012,Rachel McAdams,Michael Sucsy,Abby Kohn
2008,Josh Peck,Jonathan Levine,Jonathan Levine
2015,Joseph Gordon-Levitt,Robert Zemeckis,Robert Zemeckis
2010,Dong-gun Jang,Sngmoo Lee,Sngmoo Lee
2001,Dr. Dre,DJ Pooh,DJ Pooh
2012,Ben Stiller,Akiva Schaffer,Jared Stern
1998,Adam Sandler,Frank Coraci,Tim Herlihy
2013,Steve Carell,Nat Faxon,Nat Faxon
2005,Nicolas Cage,Gore Verbinski,Steve Conrad
2005,Dermot Mulroney,Clare Kilner,Elizabeth Young
2001,Jennifer Lopez,Adam Shankman,Pamela Falk
2000,Bruce Willis,Jonathan Lynn,Mitchell Kapner
2004,Bruce Willis,Howard Deutch,Mitchell Kapner
2015,Anya Taylor-Joy,Robert Eggers,Robert Eggers
2013,Leonardo DiCaprio,Martin Scorsese,Terence Winter
2013,Hugh Jackman,James Mangold,Mark Bomback
2012,Daniel Radcliffe,James Watkins,Susan Hill
2008,Meg Ryan,Diane English,Diane English
2012,Bradley Cooper,Brian Klugman,Brian Klugman
1999,Pierce Brosnan,Michael Apted,Neal Purvis
2013,Simon Pegg,Edgar Wright,Simon Pegg
1986,Charlie Sheen,Mike Marvin,Mike Marvin
2008,Mickey Rourke,Darren Aronofsky,Robert D. Siegel
1998,David Duchovny,Rob Bowman,Chris Carter
2008,David Duchovny,Chris Carter,Frank Spotnitz
2009,Emily Blunt,Jean-Marc Vallée,Julian Fellowes
2007,Daniel Day-Lewis,Paul Thomas Anderson,Paul Thomas Anderson
1998,Ben Stiller,Bobby Farrelly,Ed Decter
1988,Roddy Piper,John Carpenter,Ray Nelson
1995,Andy Garcia,Gary Fleder,Scott Rosenberg
2007,Halle Berry,Susanne Bier,Allan Loeb
2012,Chris Brown,Tim Story,Keith Merryman
2003,Evan Rachel Wood,Catherine Hardwicke,Catherine Hardwicke
2000,Kevin Costner,Roger Donaldson,David Self
2012,Paul Rudd,Judd Apatow,Judd Apatow
2013,James Franco,Evan Goldberg,Seth Rogen
2014,Jason Bateman,Shawn Levy,Jonathan Tropper
2012,Reese Witherspoon,McG,Timothy Dowling
2011,Chris Hemsworth,Kenneth Branagh,Ashley Miller
2013,Chris Hemsworth,Alan Taylor,Christopher Yost
1999,George Clooney,David O. Russell,John Ridley
2004,Bill Paxton,Jonathan Frakes,Gerry Anderson
2003,Paul Walker,Richard Donner,Michael Crichton
1996,Kevin Costner,Ron Shelton,John Norville
2000,Matt Damon,Don Bluth,Hans Bauer
1997,Leonardo DiCaprio,James Cameron,James Cameron
1995,Nicole Kidman,Gus Van Sant,Joyce Maynard
1993,Kurt Russell,George P. Cosmatos,Kevin Jarre
2001,Shannon Elizabeth,Gregory Poirier,Gregory Poirier
1997,Pierce Brosnan,Roger Spottiswoode,Bruce Feirstein
2015,George Clooney,Brad Bird,Damon Lindelof
1986,Tom Cruise,Tony Scott,Jim Cash
2004,Martin Henderson,Joseph Kahn,Matt Johnson
2012,Colin Farrell,Len Wiseman,Kurt Wimmer
2011,Eddie Murphy,Brett Ratner,Adam Cooper
1995,Tom Hanks,John Lasseter,John Lasseter
1999,Tom Hanks,John Lasseter,John Lasseter
2010,Tom Hanks,Lee Unkrich,John Lasseter
2000,Michael Douglas,Steven Soderbergh,Simon Moore
2001,Denzel Washington,Antoine Fuqua,David Ayer
1996,Ewan McGregor,Danny Boyle,John Hodge
2013,James McAvoy,Danny Boyle,Joe Ahearne
2005,Felicity Huffman,Duncan Tucker,Duncan Tucker
2014,Johnny Depp,Wally Pfister,Jack Paglen
2007,Shia LaBeouf,Michael Bay,Roberto Orci
2014,Mark Wahlberg,Michael Bay,Ehren Kruger
2011,Shia LaBeouf,Michael Bay,Ehren Kruger
2009,Shia LaBeouf,Michael Bay,Ehren Kruger
2005,Jason Statham,Louis Leterrier,Luc Besson
2008,Woody Harrelson,Brad Anderson,Brad Anderson
2002,Joseph Gordon-Levitt,Ron Clements,Robert Louis Stevenson
1990,Kevin Bacon,Ron Underwood,S.S. Wilson
2016,Casey Affleck,John Hillcoat,Matt Cook
2010,Jeff Bridges,Joseph Kosinski,Edward Kitsis
2008,Ben Stiller,Ben Stiller,Justin Theroux
2004,Brad Pitt,Wolfgang Petersen,Homer
2010,Jeff Bridges,Ethan Coen,Joel Coen
1994,Arnold Schwarzenegger,James Cameron,Claude Zidi
1993,Christian Slater,Tony Scott,Quentin Tarantino
1990,Adrienne Shelly,Hal Hartley,Hal Hartley
2010,Clive Owen,David Schwimmer,Andy Bellin
2005,Presley Chweneyagae,Gavin Hood,Gavin Hood
1999,Janet McTeer,Gavin O'Connor,Angela Shelton
2013,Ryan Reynolds,David Soren,Darren Lemke
1997,Ray Liotta,Robert Butler,Jonathan Brett
2014,Justin Long,Kevin Smith,Kevin Smith
1998,Paul Newman,Robert Benton,Robert Benton
2008,Kristen Stewart,Catherine Hardwicke,Melissa Rosenberg
1988,Arnold Schwarzenegger,Ivan Reitman,William Davies
1996,Helen Hunt,Jan de Bont,Michael Crichton
1997,Robert Downey Jr.,James Toback,James Toback
2008,Joaquin Phoenix,James Gray,James Gray
2002,Sandra Bullock,Marc Lawrence,Marc Lawrence
2006,Milla Jovovich,Kurt Wimmer,Kurt Wimmer
2000,Bruce Willis,M. Night Shyamalan,M. Night Shyamalan
2014,Jack O'Connell,Angelina Jolie,Joel Coen
1995,Steven Seagal,Geoff Murphy,Richard Hatem
2013,Scarlett Johansson,Jonathan Glazer,Walter Campbell
2002,Eddie Griffin,Malcolm D. Lee,John Ridley
2003,Kate Beckinsale,Len Wiseman,Kevin Grevioux
2006,Kate Beckinsale,Len Wiseman,Danny McBride
2009,Rhona Mitra,Patrick Tatopoulos,Danny McBride
2002,Wesley Snipes,Walter Hill,David Giler
2002,Richard Gere,Adrian Lyne,Claude Chabrol
2015,Vince Vaughn,Ken Scott,Steve Conrad
1992,Clint Eastwood,Clint Eastwood,David Webb Peoples
2014,Heather Sossaman,Levan Gabriadze,Nelson Greaves
2006,David Alan Basche,Paul Greengrass,Paul Greengrass
1999,Jean-Claude Van Damme,Mic Rodgers,Richard Rothstein
2011,Liam Neeson,Jaume Collet-Serra,Oliver Butcher
2005,Jet Li,Louis Leterrier,Luc Besson
2010,Denzel Washington,Tony Scott,Mark Bomback
2008,Diane Lane,Gregory Hoblit,Robert Fyvolent
2009,Edward Asner,Pete Docter,Pete Docter
2009,George Clooney,Jason Reitman,Walter Kirn
1998,Jared Leto,Jamie Blanks,Silvio Horta
2005,Hugo Weaving,James McTeigue,Lilly Wachowski
2015,Ed Helms,John Francis Daley,Jonathan Goldstein
2010,Julia Roberts,Garry Marshall,Katherine Fugate
2005,Ewan McGregor,Gary Chapman,George Webster
2008,Tom Cruise,Bryan Singer,Christopher McQuarrie
1995,Eddie Murphy,Wes Craven,Eddie Murphy
2010,Jenn Proske,Jason Friedberg,Jason Friedberg
2001,Tom Cruise,Cameron Crowe,Alejandro Amenábar
2004,Reese Witherspoon,Mira Nair,Matthew Faulk
2008,Dennis Quaid,Pete Travis,Barry L. Levy
2003,Cate Blanchett,Joel Schumacher,Carol Doyle
2000,Scott Glenn,Martin Campbell,Robert King
1998,Christian Slater,Peter Berg,Peter Berg
2008,Rebecca Hall,Woody Allen,Woody Allen
2015,Daniel Radcliffe,Paul McGuigan,Max Landis
1995,Denzel Washington,Brett Leonard,Eric Bernt
2008,Josh Brolin,Oliver Stone,Stanley Weiser
1997,Dustin Hoffman,Barry Levinson,Larry Beinhart
2005,Ryan Reynolds,Rob McKittrick,Rob McKittrick
2007,Keri Russell,Adrienne Shelly,Adrienne Shelly
2007,John C. Reilly,Jake Kasdan,Judd Apatow
2005,Joaquin Phoenix,James Mangold,Johnny Cash
2004,Dwayne Johnson,Kevin Bray,Mort Briskin
1987,Charlie Sheen,Oliver Stone,Stanley Weiser
2010,Shia LaBeouf,Oliver Stone,Allan Loeb
2008,Ben Burtt,Andrew Stanton,Andrew Stanton
2008,Ari Folman,Ari Folman,Ari Folman
2008,Angelina Jolie,Timur Bekmambetov,Michael Brandt
2007,Jet Li,Philip G. Atwell,Lee Anthony Smith
2011,Jeremy Irvine,Steven Spielberg,Lee Hall
2005,Tom Cruise,Steven Spielberg,Josh Friedman
2013,Nicholas Hoult,Jonathan Levine,Jonathan Levine
2011,Tom Hardy,Gavin O'Connor,Gavin O'Connor
2009,Jackie Earle Haley,Zack Snyder,David Hayter
2011,Robert Pattinson,Francis Lawrence,Richard LaGravenese
1995,Kevin Costner,Kevin Reynolds,Peter Rader
1992,Mike Myers,Penelope Spheeris,Mike Myers
2006,Matthew McConaughey,McG,Jamie Linden
2015,Zac Efron,Max Joseph,Max Joseph
2011,Matt Damon,Cameron Crowe,Aline Brosh McKenna
2011,Tilda Swinton,Lynne Ramsay,Lynne Ramsay
2007,Joaquin Phoenix,James Gray,James Gray
2002,Mel Gibson,Randall Wallace,Harold G. Moore
2013,Jason Sudeikis,Rawson Marshall Thurber,Bob Fisher
1998,Robin Williams,Vincent Ward,Richard Matheson
2008,Cameron Diaz,Tom Vaughan,Dana Fox
2008,Robert De Niro,Barry Levinson,Art Linson
2000,Harrison Ford,Robert Zemeckis,Clark Gregg
2012,Cameron Diaz,Kirk Jones,Shauna Cross
2000,Mel Gibson,Nancy Meyers,Josh Goldsmith
1993,Johnny Depp,Lasse Hallström,Peter Hedges
2011,Anna Faris,Mark Mylod,Gabrielle Allan
2009,Evan Rachel Wood,Woody Allen,Woody Allen
2006,Camilla Belle,Simon West,Jake Wade Wall
1989,Billy Crystal,Rob Reiner,Nora Ephron
2014,Jim Caviezel,Thomas Carter,Scott Marshall Smith
2000,Natalie Portman,Matt Williams,Lowell Ganz
2014,Ben Stiller,Noah Baumbach,Noah Baumbach
2009,Ellen Page,Drew Barrymore,Shauna Cross
2014,Miles Teller,Damien Chazelle,Damien Chazelle
2004,Marlon Wayans,Keenen Ivory Wayans,Keenen Ivory Wayans
1991,Ethan Hawke,Randal Kleiser,Jack London
2013,Channing Tatum,Roland Emmerich,James Vanderbilt
2005,Michael Keaton,Geoffrey Sax,Niall Johnson
1996,Jeff Bridges,Ridley Scott,Charles Gieg Jr.
2009,Kate Beckinsale,Dominic Sena,Jon Hoeber
2004,Josh Hartnett,Paul McGuigan,Gilles Mimouni
2014,Reese Witherspoon,Jean-Marc Vallée,Nick Hornby
2010,Bill Nighy,Jonathan Lynn,Lucinda Coxon
1998,Kevin Bacon,John McNaughton,Stephen Peters
1999,Will Smith,Barry Sonnenfeld,Jim Thomas
2004,Kirsten Dunst,Richard Loncraine,Adam Brooks
2004,Kate Bosworth,Robert Luketic,Victor Levin
2002,Nicolas Cage,John Woo,John Rice
2011,Jim Cummings,Stephen J. Anderson,Stephen J. Anderson
2005,Ed Harris,Adam Rapp,Adam Rapp
2010,Jennifer Lawrence,Debra Granik,Debra Granik
2014,Colin Farrell,Akiva Goldsman,Akiva Goldsman
2014,Zach Braff,Zach Braff,Adam J. Braff
2004,Matthew Lillard,Steven Brill,Fred Wolf
1998,Billy Crudup,Robert Towne,Robert Towne
2015,Helen Mirren,Simon Curtis,Alexi Kaye Campbell
2003,Val Kilmer,James Cox,James Cox
1998,Jada Pinkett Smith,Daisy von Scherler Mayer,David C. Johnson
2006,Nicolas Cage,Oliver Stone,Andrea Berloff
2013,Brad Pitt,Marc Forster,Matthew Michael Carnahan
2012,John C. Reilly,Rich Moore,Rich Moore
2003,Eliza Dushku,Rob Schmidt,Alan B. McElroy
1994,Kevin Costner,Lawrence Kasdan,Dan Gordon
2000,Patrick Stewart,Bryan Singer,Tom DeSanto
2009,Hugh Jackman,Gavin Hood,David Benioff
2016,James McAvoy,Bryan Singer,Simon Kinberg
2014,Patrick Stewart,Bryan Singer,Simon Kinberg
2011,James McAvoy,Matthew Vaughn,Ashley Miller
2002,Vin Diesel,Rob Cohen,Rich Wilkes
2005,Ice Cube,Lee Tamahori,Rich Wilkes
2001,Maribel Verdú,Alfonso Cuarón,Alfonso Cuarón
2009,Jack Black,Harold Ramis,Harold Ramis
2008,Jim Carrey,Peyton Reed,Nicholas Stoller
2010,Dan Aykroyd,Eric Brevig,J.R. Ventimilia
2010,Kristen Bell,Andy Fickman,Moe Jelline
2008,Adam Sandler,Dennis Dugan,Adam Sandler
1998,Tom Hanks,Nora Ephron,Miklós László
2006,Kate Hudson,Anthony Russo,Michael LeSieur
2011,Charlize Theron,Jason Reitman,Diablo Cody
1988,Emilio Estevez,Christopher Cain,John Fusco
2011,Danny McBride,David Gordon Green,Danny McBride
2008,Seth Rogen,Kevin Smith,Kevin Smith
2005,Josh Hutcherson,Jon Favreau,Chris Van Allsburg
2012,Jessica Chastain,Kathryn Bigelow,Mark Boal
1998,Bill Pullman,Jake Kasdan,Jake Kasdan
2007,Jake Gyllenhaal,David Fincher,James Vanderbilt
2009,Jesse Eisenberg,Ruben Fleischer,Rhett Reese
2011,Kevin James,Frank Coraci,Nick Bakay
2001,Ben Stiller,Ben Stiller,Drake Sather
2016,Ben Stiller,Ben Stiller,Justin Theroux
2006,Tim Allen,Peter Hewitt,Adam Rifkin
2005,Charlize Theron,Karyn Kusama,Phil Hay
